customer_id,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_total,segment
1158,1,2864.37,64,4,1,4,414,9,New & Promising
1159,1,5605.16,288,1,1,5,115,7,Lost
1160,1,2058.0,240,2,1,3,213,6,At Risk
1162,1,1483.14,336,1,1,3,113,5,Lost
1163,1,403.7,81,4,1,1,411,6,New & Promising
1164,1,1126.58,180,3,1,2,312,6,New & Promising
1165,2,1357.8700000000001,31,5,4,2,542,11,Champions
1167,2,3059.2,18,5,4,4,544,13,Champions
1169,2,947.29,148,3,4,2,342,9,Loyal
1172,1,332.26,265,2,1,1,211,4,At Risk
1174,1,1507.02,171,3,1,3,313,7,New & Promising
1175,2,2666.8900000000003,128,3,4,4,344,11,Loyal
1177,1,756.39,142,3,1,1,311,5,New & Promising
1183,1,5294.04,263,2,1,5,215,8,At Risk
1184,2,3314.81,181,3,4,4,344,11,Loyal
1187,2,9145.76,26,5,4,5,545,14,Champions
1188,3,1550.69,20,5,5,3,553,13,Champions
1190,2,1456.45,39,5,4,3,543,12,Champions
1193,1,1818.94,360,1,1,3,113,5,Lost
1195,1,1219.67,2,5,1,2,512,8,New & Promising
1196,2,5634.82,255,2,4,5,245,11,At Risk
1197,1,4518.88,26,5,1,5,515,11,New & Promising
1198,1,973.3,178,3,1,2,312,6,New & Promising
1200,1,1897.32,64,4,1,3,413,8,New & Promising
1202,1,1248.59,294,1,1,2,112,4,Lost
1203,2,3619.66,238,2,4,4,244,10,At Risk
1204,1,969.32,41,5,1,2,512,8,New & Promising
1206,1,3324.51,319,1,1,4,114,6,Lost
1208,1,1136.65,179,3,1,2,312,6,New & Promising
1209,1,816.6,310,1,1,2,112,4,Lost
1212,3,2666.46,32,5,5,4,554,14,Champions
1213,1,744.78,109,4,1,1,411,6,New & Promising
1214,1,3055.83,323,1,1,4,114,6,Lost
1215,1,1328.42,53,5,1,2,512,8,New & Promising
1218,2,3526.43,69,4,4,4,444,12,Champions
1220,1,1765.86,209,2,1,3,213,6,At Risk
1222,1,898.63,344,1,1,2,112,4,Lost
1223,1,522.78,63,4,1,1,411,6,New & Promising
1225,1,268.76,128,3,1,1,311,5,New & Promising
1226,1,1203.09,48,5,1,2,512,8,New & Promising
1227,1,4039.92,19,5,1,5,515,11,New & Promising
1228,1,829.75,301,1,1,2,112,4,Lost
1229,1,651.56,358,1,1,1,111,3,Lost
1231,1,741.57,77,4,1,1,411,6,New & Promising
1234,1,377.35,224,2,1,1,211,4,At Risk
1240,1,1882.12,98,4,1,3,413,8,New & Promising
1241,2,3617.15,125,3,4,4,344,11,Loyal
1243,1,3898.5,147,3,1,5,315,9,New & Promising
1244,2,3078.65,51,5,4,4,544,13,Champions
1252,2,7790.94,48,5,4,5,545,14,Champions
1253,1,2191.33,251,2,1,3,213,6,At Risk
1262,1,797.16,296,1,1,2,112,4,Lost
1264,1,1712.22,98,4,1,3,413,8,New & Promising
1268,1,1455.21,15,5,1,3,513,9,New & Promising
1269,1,1787.02,183,3,1,3,313,7,New & Promising
1270,2,3845.93,99,4,4,5,445,13,Champions
1271,1,1130.35,137,3,1,2,312,6,New & Promising
1274,1,2065.7,273,2,1,3,213,6,At Risk
1275,2,7788.92,145,3,4,5,345,12,Loyal
1277,1,414.36,294,1,1,1,111,3,Lost
1278,2,4367.72,83,4,4,5,445,13,Champions
1279,1,3180.17,301,1,1,4,114,6,Lost
1282,1,281.46,40,5,1,1,511,7,New & Promising
1283,1,3166.32,51,5,1,4,514,10,New & Promising
1284,1,6649.04,153,3,1,5,315,9,New & Promising
1285,1,2942.34,363,1,1,4,114,6,Lost
1290,2,1015.6500000000001,44,5,4,2,542,11,Champions
1291,1,2457.68,359,1,1,4,114,6,Lost
1292,2,3075.91,289,1,4,4,144,9,Lost
1295,1,267.34,175,3,1,1,311,5,New & Promising
1298,1,285.16,278,1,1,1,111,3,Lost
1302,1,821.62,42,5,1,2,512,8,New & Promising
1303,1,989.88,317,1,1,2,112,4,Lost
1304,1,529.27,81,4,1,1,411,6,New & Promising
1307,1,553.52,326,1,1,1,111,3,Lost
1308,1,566.61,320,1,1,1,111,3,Lost
1312,2,6037.98,303,1,4,5,145,10,Lost
1315,1,1937.57,173,3,1,3,313,7,New & Promising
1316,5,9432.31,34,5,5,5,555,15,Champions
1317,4,8119.4400000000005,30,5,5,5,555,15,Champions
1318,2,1692.53,149,3,4,3,343,10,Loyal
1319,2,3602.98,110,4,4,4,444,12,Champions
1322,2,2239.44,126,3,4,3,343,10,Loyal
1323,1,3132.29,212,2,1,4,214,7,At Risk
1324,1,3519.68,90,4,1,4,414,9,New & Promising
1327,2,4069.45,1,5,4,5,545,14,Champions
1329,1,443.01,98,4,1,1,411,6,New & Promising
1331,1,4930.51,133,3,1,5,315,9,New & Promising
1332,1,3016.32,271,2,1,4,214,7,At Risk
1334,5,12203.21,15,5,5,5,555,15,Champions
1335,3,3522.92,10,5,5,4,554,14,Champions
1336,1,3797.19,109,4,1,4,414,9,New & Promising
1337,1,783.06,230,2,1,2,212,5,At Risk
1339,1,530.31,300,1,1,1,111,3,Lost
1343,1,3053.36,23,5,1,4,514,10,New & Promising
1345,1,256.67,164,3,1,1,311,5,New & Promising
1347,1,3357.67,266,2,1,4,214,7,At Risk
1348,1,4789.77,208,2,1,5,215,8,At Risk
1349,1,307.29,180,3,1,1,311,5,New & Promising
1350,3,1480.29,293,1,5,3,153,9,Lost
1351,1,4652.64,89,4,1,5,415,10,New & Promising
1352,2,1316.79,246,2,4,2,242,8,At Risk
1356,1,2397.1,106,4,1,4,414,9,New & Promising
1357,1,1199.55,301,1,1,2,112,4,Lost
1360,3,3696.46,139,3,5,4,354,12,Loyal
1361,3,4596.29,3,5,5,5,555,15,Champions
1362,1,3356.54,330,1,1,4,114,6,Lost
1363,2,181.93,151,3,4,1,341,8,Loyal
1365,2,3247.63,57,5,4,4,544,13,Champions
1366,1,4299.17,84,4,1,5,415,10,New & Promising
1368,2,4747.9400000000005,123,3,4,5,345,12,Loyal
1370,1,1920.92,56,5,1,3,513,9,New & Promising
1372,2,7627.08,231,2,4,5,245,11,At Risk
1378,3,2604.1,31,5,5,4,554,14,Champions
1379,1,863.94,223,2,1,2,212,5,At Risk
1380,1,700.35,157,3,1,1,311,5,New & Promising
1381,1,566.3,217,2,1,1,211,4,At Risk
1382,2,4061.77,107,4,4,5,445,13,Champions
1385,1,3694.52,346,1,1,4,114,6,Lost
1386,2,3064.78,44,5,4,4,544,13,Champions
1387,2,1111.73,67,4,4,2,442,10,Champions
1388,1,3964.28,203,2,1,5,215,8,At Risk
1395,2,2703.44,218,2,4,4,244,10,At Risk
1397,1,2856.24,155,3,1,4,314,8,New & Promising
1398,1,663.37,364,1,1,1,111,3,Lost
1400,1,527.51,124,3,1,1,311,5,New & Promising
1403,2,2038.8500000000001,66,4,4,3,443,11,Champions
1404,2,1646.99,32,5,4,3,543,12,Champions
1405,1,1296.62,309,1,1,2,112,4,Lost
1410,1,162.49,214,2,1,1,211,4,At Risk
1412,1,698.61,4,5,1,1,511,7,New & Promising
1418,1,829.86,55,5,1,2,512,8,New & Promising
1419,2,5203.04,100,4,4,5,445,13,Champions
1420,1,4219.62,287,1,1,5,115,7,Lost
1422,1,2685.78,120,4,1,4,414,9,New & Promising
1423,1,1066.1,361,1,1,2,112,4,Lost
1424,1,513.7,23,5,1,1,511,7,New & Promising
1425,1,518.32,276,1,1,1,111,3,Lost
1427,1,2279.68,34,5,1,3,513,9,New & Promising
1430,1,3753.0,89,4,1,4,414,9,New & Promising
1433,2,8307.94,242,2,4,5,245,11,At Risk
1434,1,2580.84,139,3,1,4,314,8,New & Promising
1436,1,3005.46,322,1,1,4,114,6,Lost
1437,2,1919.23,60,4,4,3,443,11,Champions
1438,1,313.88,323,1,1,1,111,3,Lost
1440,1,5960.25,167,3,1,5,315,9,New & Promising
1441,1,503.92,277,1,1,1,111,3,Lost
1445,2,2774.91,83,4,4,4,444,12,Champions
1447,2,2317.7200000000003,19,5,4,3,543,12,Champions
1450,1,2384.76,311,1,1,4,114,6,Lost
1451,1,471.13,95,4,1,1,411,6,New & Promising
1454,1,2611.03,50,5,1,4,514,10,New & Promising
1455,1,254.85,278,1,1,1,111,3,Lost
1456,2,2899.21,261,2,4,4,244,10,At Risk
1458,2,2026.27,23,5,4,3,543,12,Champions
1461,1,579.51,6,5,1,1,511,7,New & Promising
1462,2,1191.03,53,5,4,2,542,11,Champions
1463,1,4949.6,72,4,1,5,415,10,New & Promising
1464,2,1238.58,291,1,4,2,142,7,Lost
1466,1,1417.23,171,3,1,3,313,7,New & Promising
1467,2,1121.45,137,3,4,2,342,9,Loyal
1471,1,1161.18,47,5,1,2,512,8,New & Promising
1472,1,220.52,259,2,1,1,211,4,At Risk
1473,1,1213.67,143,3,1,2,312,6,New & Promising
1477,1,2809.28,179,3,1,4,314,8,New & Promising
1478,1,656.62,46,5,1,1,511,7,New & Promising
1479,1,2925.48,158,3,1,4,314,8,New & Promising
1483,2,4226.91,22,5,4,5,545,14,Champions
1484,2,4044.9100000000003,100,4,4,5,445,13,Champions
1486,1,2089.06,246,2,1,3,213,6,At Risk
1487,1,5778.76,69,4,1,5,415,10,New & Promising
1489,2,730.27,131,3,4,1,341,8,Loyal
1490,1,1211.39,189,3,1,2,312,6,New & Promising
1492,2,2307.77,15,5,4,3,543,12,Champions
1493,1,416.59,307,1,1,1,111,3,Lost
1496,2,2929.2999999999997,10,5,4,4,544,13,Champions
1497,1,5020.5,214,2,1,5,215,8,At Risk
1498,1,5302.37,25,5,1,5,515,11,New & Promising
1499,1,131.96,1,5,1,1,511,7,New & Promising
1501,1,6016.54,144,3,1,5,315,9,New & Promising
1503,1,4151.74,76,4,1,5,415,10,New & Promising
1505,1,574.4,172,3,1,1,311,5,New & Promising
1506,4,11867.1,93,4,5,5,455,14,Champions
1509,1,963.2,12,5,1,2,512,8,New & Promising
1510,1,4993.48,40,5,1,5,515,11,New & Promising
1513,1,165.17,187,3,1,1,311,5,New & Promising
1515,3,1602.91,15,5,5,3,553,13,Champions
1517,1,2029.92,143,3,1,3,313,7,New & Promising
1518,3,6890.76,8,5,5,5,555,15,Champions
1521,1,334.46,245,2,1,1,211,4,At Risk
1523,1,5576.1,244,2,1,5,215,8,At Risk
1524,1,972.99,233,2,1,2,212,5,At Risk
1527,1,476.82,88,4,1,1,411,6,New & Promising
1529,2,4588.91,173,3,4,5,345,12,Loyal
1530,2,1126.92,8,5,4,2,542,11,Champions
1531,1,2598.35,4,5,1,4,514,10,New & Promising
1532,1,3212.5,189,3,1,4,314,8,New & Promising
1533,1,1858.18,249,2,1,3,213,6,At Risk
1538,1,1661.69,52,5,1,3,513,9,New & Promising
1539,2,4421.79,27,5,4,5,545,14,Champions
1543,1,4321.89,60,4,1,5,415,10,New & Promising
1545,2,1395.81,26,5,4,2,542,11,Champions
1548,1,2348.55,123,3,1,3,313,7,New & Promising
1550,2,7921.13,5,5,4,5,545,14,Champions
1551,1,641.61,278,1,1,1,111,3,Lost
1555,1,2601.76,158,3,1,4,314,8,New & Promising
1557,1,1890.24,348,1,1,3,113,5,Lost
1560,1,1852.44,21,5,1,3,513,9,New & Promising
1564,1,1536.96,188,3,1,3,313,7,New & Promising
1566,1,589.15,109,4,1,1,411,6,New & Promising
1569,1,2879.92,290,1,1,4,114,6,Lost
1570,1,3623.82,282,1,1,4,114,6,Lost
1571,1,2562.31,320,1,1,4,114,6,Lost
1577,1,1887.37,210,2,1,3,213,6,At Risk
1581,1,956.08,302,1,1,2,112,4,Lost
1585,1,4847.17,299,1,1,5,115,7,Lost
1589,1,1146.6,348,1,1,2,112,4,Lost
1595,1,253.56,102,4,1,1,411,6,New & Promising
1599,2,3167.7400000000002,228,2,4,4,244,10,At Risk
1600,1,970.88,35,5,1,2,512,8,New & Promising
1601,1,1166.22,135,3,1,2,312,6,New & Promising
1604,1,425.65,253,2,1,1,211,4,At Risk
1607,1,766.55,299,1,1,2,112,4,Lost
1608,4,8634.02,79,4,5,5,455,14,Champions
1612,1,2539.1,45,5,1,4,514,10,New & Promising
1613,2,2440.56,83,4,4,4,444,12,Champions
1615,1,2330.22,275,2,1,3,213,6,At Risk
1618,2,1529.82,33,5,4,3,543,12,Champions
1620,1,4390.95,356,1,1,5,115,7,Lost
1622,1,1951.13,214,2,1,3,213,6,At Risk
1624,2,1483.5700000000002,154,3,4,3,343,10,Loyal
1627,1,1327.0,140,3,1,2,312,6,New & Promising
1629,1,432.01,137,3,1,1,311,5,New & Promising
1631,1,2336.52,105,4,1,3,413,8,New & Promising
1632,2,1683.5900000000001,15,5,4,3,543,12,Champions
1635,2,1696.4,201,2,4,3,243,9,At Risk
1640,1,765.98,235,2,1,2,212,5,At Risk
1641,1,1094.88,40,5,1,2,512,8,New & Promising
1644,2,1552.99,191,2,4,3,243,9,At Risk
1645,1,3067.74,225,2,1,4,214,7,At Risk
1646,2,5386.24,250,2,4,5,245,11,At Risk
1647,2,3613.1000000000004,112,4,4,4,444,12,Champions
1649,1,1929.76,237,2,1,3,213,6,At Risk
1657,2,1068.19,201,2,4,2,242,8,At Risk
1658,1,1048.12,102,4,1,2,412,7,New & Promising
1659,1,809.91,44,5,1,2,512,8,New & Promising
1661,3,10152.52,134,3,5,5,355,13,Loyal
1667,1,3170.98,58,5,1,4,514,10,New & Promising
1668,1,722.8,68,4,1,1,411,6,New & Promising
1672,1,807.22,248,2,1,2,212,5,At Risk
1673,1,1104.84,212,2,1,2,212,5,At Risk
1675,2,5207.360000000001,37,5,4,5,545,14,Champions
1676,2,3942.9700000000003,213,2,4,5,245,11,At Risk
1681,1,407.71,309,1,1,1,111,3,Lost
1682,1,2536.28,99,4,1,4,414,9,New & Promising
1683,1,1929.0,251,2,1,3,213,6,At Risk
1687,1,1318.78,178,3,1,2,312,6,New & Promising
1688,1,1141.31,338,1,1,2,112,4,Lost
1690,2,3004.06,39,5,4,4,544,13,Champions
1694,1,3849.17,233,2,1,5,215,8,At Risk
1695,1,725.39,67,4,1,1,411,6,New & Promising
1697,1,1989.62,334,1,1,3,113,5,Lost
1698,2,4020.0,246,2,4,5,245,11,At Risk
1699,1,1136.57,203,2,1,2,212,5,At Risk
1702,2,805.1700000000001,287,1,4,2,142,7,Lost
1703,1,2702.64,313,1,1,4,114,6,Lost
1706,1,1735.8,114,4,1,3,413,8,New & Promising
1708,2,1565.29,16,5,4,3,543,12,Champions
1709,1,1876.09,149,3,1,3,313,7,New & Promising
1710,1,6703.32,166,3,1,5,315,9,New & Promising
1711,3,1730.48,103,4,5,3,453,12,Champions
1712,1,3794.86,18,5,1,4,514,10,New & Promising
1713,1,1641.2,257,2,1,3,213,6,At Risk
1719,2,4606.89,3,5,4,5,545,14,Champions
1720,1,2791.04,353,1,1,4,114,6,Lost
1722,2,2146.9700000000003,34,5,4,3,543,12,Champions
1723,1,365.57,130,3,1,1,311,5,New & Promising
1728,1,4775.0,135,3,1,5,315,9,New & Promising
1730,1,681.53,15,5,1,1,511,7,New & Promising
1731,1,1130.1,74,4,1,2,412,7,New & Promising
1732,1,415.91,82,4,1,1,411,6,New & Promising
1733,1,688.34,364,1,1,1,111,3,Lost
1736,1,2510.82,319,1,1,4,114,6,Lost
1738,3,13800.96,12,5,5,5,555,15,Champions
1742,1,1286.8,4,5,1,2,512,8,New & Promising
1745,2,1012.98,163,3,4,2,342,9,Loyal
1746,1,288.04,63,4,1,1,411,6,New & Promising
1747,3,5489.889999999999,89,4,5,5,455,14,Champions
1749,1,882.81,345,1,1,2,112,4,Lost
1751,1,1128.93,38,5,1,2,512,8,New & Promising
1756,1,666.3,254,2,1,1,211,4,At Risk
1757,1,794.94,137,3,1,2,312,6,New & Promising
1759,1,922.11,85,4,1,2,412,7,New & Promising
1762,1,4314.87,139,3,1,5,315,9,New & Promising
1763,1,5219.03,133,3,1,5,315,9,New & Promising
1764,1,1182.76,37,5,1,2,512,8,New & Promising
1765,3,6114.2,218,2,5,5,255,12,At Risk
1766,1,606.83,70,4,1,1,411,6,New & Promising
1767,1,537.62,97,4,1,1,411,6,New & Promising
1770,1,678.33,225,2,1,1,211,4,At Risk
1773,4,4761.9400000000005,72,4,5,5,455,14,Champions
1777,1,150.84,258,2,1,1,211,4,At Risk
1778,1,1006.0,123,3,1,2,312,6,New & Promising
1780,1,3213.85,230,2,1,4,214,7,At Risk
1781,1,752.89,354,1,1,1,111,3,Lost
1783,1,958.94,34,5,1,2,512,8,New & Promising
1786,2,2626.37,331,1,4,4,144,9,Lost
1787,1,1424.09,348,1,1,3,113,5,Lost
1788,1,632.04,158,3,1,1,311,5,New & Promising
1789,1,4764.74,307,1,1,5,115,7,Lost
1795,1,527.61,27,5,1,1,511,7,New & Promising
1797,1,2043.63,200,2,1,3,213,6,At Risk
1798,1,3230.25,106,4,1,4,414,9,New & Promising
1800,1,1153.65,275,2,1,2,212,5,At Risk
1801,1,2547.22,166,3,1,4,314,8,New & Promising
1802,1,1337.24,19,5,1,2,512,8,New & Promising
1803,1,2206.11,32,5,1,3,513,9,New & Promising
1808,1,506.2,152,3,1,1,311,5,New & Promising
1811,2,2675.0099999999998,80,4,4,4,444,12,Champions
1812,1,1980.48,313,1,1,3,113,5,Lost
1814,2,2276.38,315,1,4,3,143,8,Lost
1815,1,1156.8,136,3,1,2,312,6,New & Promising
1819,1,3192.12,85,4,1,4,414,9,New & Promising
1823,2,2421.66,187,3,4,4,344,11,Loyal
1825,2,2864.42,79,4,4,4,444,12,Champions
1829,1,1398.4,13,5,1,2,512,8,New & Promising
1830,2,1788.8899999999999,4,5,4,3,543,12,Champions
1832,1,1846.82,16,5,1,3,513,9,New & Promising
1834,2,1904.63,36,5,4,3,543,12,Champions
1835,1,177.68,363,1,1,1,111,3,Lost
1837,1,343.86,232,2,1,1,211,4,At Risk
1839,1,756.53,332,1,1,1,111,3,Lost
1840,2,6283.03,231,2,4,5,245,11,At Risk
1841,1,689.02,306,1,1,1,111,3,Lost
1842,2,2288.83,214,2,4,3,243,9,At Risk
1846,1,2908.1,262,2,1,4,214,7,At Risk
1851,1,5448.2,347,1,1,5,115,7,Lost
1853,2,3799.8199999999997,49,5,4,4,544,13,Champions
1854,2,4694.13,83,4,4,5,445,13,Champions
1856,1,1251.12,278,1,1,2,112,4,Lost
1861,2,6969.4400000000005,159,3,4,5,345,12,Loyal
1862,1,787.95,328,1,1,2,112,4,Lost
1865,1,934.29,112,4,1,2,412,7,New & Promising
1867,1,1414.74,192,2,1,3,213,6,At Risk
1868,1,550.28,186,3,1,1,311,5,New & Promising
1873,1,4479.51,143,3,1,5,315,9,New & Promising
1874,1,742.85,254,2,1,1,211,4,At Risk
1880,1,7776.56,3,5,1,5,515,11,New & Promising
1881,1,2444.0,115,4,1,4,414,9,New & Promising
1885,1,773.51,191,2,1,2,212,5,At Risk
1886,1,3758.12,205,2,1,4,214,7,At Risk
1889,1,3985.24,26,5,1,5,515,11,New & Promising
1890,1,1673.45,306,1,1,3,113,5,Lost
1894,1,3616.48,336,1,1,4,114,6,Lost
1899,1,3473.2,112,4,1,4,414,9,New & Promising
1903,1,611.98,162,3,1,1,311,5,New & Promising
1908,1,619.54,278,1,1,1,111,3,Lost
1914,1,337.89,229,2,1,1,211,4,At Risk
1915,1,1722.87,265,2,1,3,213,6,At Risk
1916,1,211.63,95,4,1,1,411,6,New & Promising
1922,1,742.32,236,2,1,1,211,4,At Risk
1923,1,2511.84,93,4,1,4,414,9,New & Promising
1926,3,3901.2299999999996,52,5,5,5,555,15,Champions
1927,1,944.91,275,2,1,2,212,5,At Risk
1929,2,2165.5699999999997,58,5,4,3,543,12,Champions
1930,2,1232.25,222,2,4,2,242,8,At Risk
1934,2,3780.33,60,4,4,4,444,12,Champions
1936,1,1525.02,109,4,1,3,413,8,New & Promising
1937,1,450.44,114,4,1,1,411,6,New & Promising
1941,3,4066.58,227,2,5,5,255,12,At Risk
1943,2,5817.66,107,4,4,5,445,13,Champions
1945,1,740.14,355,1,1,1,111,3,Lost
1946,1,442.42,203,2,1,1,211,4,At Risk
1947,1,2008.35,221,2,1,3,213,6,At Risk
1948,1,3147.14,117,4,1,4,414,9,New & Promising
1950,1,3595.68,322,1,1,4,114,6,Lost
1951,4,5702.030000000001,26,5,5,5,555,15,Champions
1953,2,4341.24,136,3,4,5,345,12,Loyal
1955,1,2123.25,221,2,1,3,213,6,At Risk
1956,1,1135.6,166,3,1,2,312,6,New & Promising
1957,2,2259.73,206,2,4,3,243,9,At Risk
1958,2,3011.63,15,5,4,4,544,13,Champions
1959,1,825.0,313,1,1,2,112,4,Lost
1960,2,7002.41,91,4,4,5,445,13,Champions
1963,1,1399.0,258,2,1,2,212,5,At Risk
1965,1,1619.46,2,5,1,3,513,9,New & Promising
1966,1,2704.6,187,3,1,4,314,8,New & Promising
1969,1,3084.52,116,4,1,4,414,9,New & Promising
1971,1,1431.76,288,1,1,3,113,5,Lost
1973,2,10467.41,260,2,4,5,245,11,At Risk
1974,2,1278.26,141,3,4,2,342,9,Loyal
1977,3,6820.77,61,4,5,5,455,14,Champions
1979,1,6200.4,43,5,1,5,515,11,New & Promising
1982,1,1212.63,104,4,1,2,412,7,New & Promising
1985,1,4485.96,253,2,1,5,215,8,At Risk
1986,1,723.1,230,2,1,1,211,4,At Risk
1987,1,564.16,356,1,1,1,111,3,Lost
1990,1,4020.52,98,4,1,5,415,10,New & Promising
1993,2,756.09,95,4,4,1,441,9,Champions
1994,1,355.84,178,3,1,1,311,5,New & Promising
1995,1,493.96,317,1,1,1,111,3,Lost
1996,1,3338.77,114,4,1,4,414,9,New & Promising
1997,1,2431.34,316,1,1,4,114,6,Lost
2002,2,1472.05,144,3,4,3,343,10,Loyal
2004,1,315.81,188,3,1,1,311,5,New & Promising
2008,2,2099.9500000000003,196,2,4,3,243,9,At Risk
2009,2,4369.6,191,2,4,5,245,11,At Risk
2013,2,1609.31,5,5,4,3,543,12,Champions
2014,1,232.87,5,5,1,1,511,7,New & Promising
2017,1,325.76,295,1,1,1,111,3,Lost
2020,1,3592.26,98,4,1,4,414,9,New & Promising
2025,1,407.23,81,4,1,1,411,6,New & Promising
2026,2,7683.26,14,5,4,5,545,14,Champions
2027,1,1507.9,256,2,1,3,213,6,At Risk
2029,1,970.4,48,5,1,2,512,8,New & Promising
2030,1,415.02,272,2,1,1,211,4,At Risk
2035,1,2652.92,256,2,1,4,214,7,At Risk
2036,1,522.43,31,5,1,1,511,7,New & Promising
2037,1,3138.17,349,1,1,4,114,6,Lost
2039,2,1490.94,142,3,4,3,343,10,Loyal
2041,2,8680.05,17,5,4,5,545,14,Champions
2044,1,843.44,271,2,1,2,212,5,At Risk
2046,1,898.84,328,1,1,2,112,4,Lost
2048,1,1290.46,37,5,1,2,512,8,New & Promising
2051,1,507.47,259,2,1,1,211,4,At Risk
2053,2,1988.96,2,5,4,3,543,12,Champions
2054,1,433.5,285,1,1,1,111,3,Lost
2055,1,213.01,11,5,1,1,511,7,New & Promising
2057,1,2175.32,301,1,1,3,113,5,Lost
2058,1,1955.16,338,1,1,3,113,5,Lost
2063,1,1665.32,187,3,1,3,313,7,New & Promising
2064,1,4722.15,60,4,1,5,415,10,New & Promising
2066,2,2298.8,40,5,4,3,543,12,Champions
2068,1,319.95,9,5,1,1,511,7,New & Promising
2069,2,2338.08,82,4,4,3,443,11,Champions
2072,2,1600.6,100,4,4,3,443,11,Champions
2073,1,3105.8,75,4,1,4,414,9,New & Promising
2074,2,5171.09,5,5,4,5,545,14,Champions
2076,1,2587.71,292,1,1,4,114,6,Lost
2077,1,1295.93,297,1,1,2,112,4,Lost
2078,1,482.55,128,3,1,1,311,5,New & Promising
2079,1,863.97,3,5,1,2,512,8,New & Promising
2081,1,3992.52,274,2,1,5,215,8,At Risk
2082,2,6424.95,219,2,4,5,245,11,At Risk
2089,1,679.29,134,3,1,1,311,5,New & Promising
2097,3,4193.98,85,4,5,5,455,14,Champions
2106,1,539.16,344,1,1,1,111,3,Lost
2107,1,2090.28,351,1,1,3,113,5,Lost
2113,1,1287.54,258,2,1,2,212,5,At Risk
