customer_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,added_to_cart,purchased,cart_abandoned,rating,review_helpful_votes,payment_method,day_of_month,month_number,visit_weekday,visit_season,session_duration_bucket,visit_year,visit_quarter,month_name
8033,24-06-2024,Desktop,Returning User,Social Media,567,Beauty & Personal Care,853.62,2,20,341.45,0,9,26,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,24,6,Monday,Autumn,Very Short,2024,Q2,June
6794,04-04-2024,Desktop,New User,Referral,367,Grocery,667.9,1,5,33.4,634.5,8,1454,Added,Purchased,Not Abandoned,5,8,Debit Card,4,4,Thursday,Summer,Very Long,2024,Q2,April
4621,22-02-2024,Desktop,New User,Email Campaign,376,Electronics,927.81,2,20,371.12,0,9,1105,Added,Not Purchased,Abandoned,4,0,Net Banking,22,2,Thursday,Winter,Long,2024,Q1,February
8404,13-09-2024,Desktop,Returning User,Organic Search,57,Fashion,161.8,3,10,48.54,0,7,604,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,13,9,Friday,Spring,Short,2024,Q3,September
5908,24-06-2024,Mobile,Returning User,Email Campaign,750,Toys & Baby,1159.83,4,0,0,0,11,1396,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,24,6,Monday,Autumn,Very Long,2024,Q2,June
4990,04-07-2024,Mobile,Returning User,Paid Ads,440,Grocery,1014.28,1,0,0,0,1,1503,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,4,7,Thursday,Autumn,Very Long,2024,Q3,July
5053,25-06-2024,Desktop,Returning User,Direct,722,Fashion,511.8,4,10,204.72,0,12,169,Added,Not Purchased,Abandoned,4,0,UPI,25,6,Tuesday,Autumn,Very Short,2024,Q2,June
3044,29-09-2024,Mobile,New User,Paid Ads,207,Sports & Fitness,180.12,2,20,72.05,0,16,526,Added,Not Purchased,Abandoned,4,0,UPI,29,9,Sunday,Spring,Short,2024,Q3,September
1829,18-12-2024,Desktop,New User,Paid Ads,72,Sports & Fitness,437,4,20,349.6,1398.4,10,610,Added,Purchased,Not Abandoned,5,4,Cash on Delivery,18,12,Wednesday,Winter,Short,2024,Q4,December
5990,06-07-2024,Desktop,Returning User,Social Media,9,Books,560.82,4,0,0,0,12,689,Not Added,Not Purchased,Not Abandoned,4,0,EMI,6,7,Saturday,Autumn,Short,2024,Q3,July
8990,26-02-2024,Mobile,Returning User,Direct,551,Fashion,789.99,1,0,0,789.99,24,121,Added,Purchased,Not Abandoned,4,11,UPI,26,2,Monday,Winter,Very Short,2024,Q1,February
1574,29-04-2024,Desktop,New User,Direct,819,Beauty & Personal Care,837.27,2,10,167.45,0,10,415,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,29,4,Monday,Summer,Very Short,2024,Q2,April
8723,30-06-2024,Desktop,New User,Referral,657,Beauty & Personal Care,855.27,2,15,256.58,0,1,541,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,30,6,Sunday,Autumn,Short,2024,Q2,June
8447,07-02-2024,Desktop,Returning User,Social Media,604,Beauty & Personal Care,1140.72,3,0,0,0,1,449,Added,Not Purchased,Abandoned,4,0,Net Banking,7,2,Wednesday,Winter,Very Short,2024,Q1,February
3490,24-03-2024,Mobile,Returning User,Social Media,462,Home & Kitchen,1434.14,3,0,0,0,17,702,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,24,3,Sunday,Summer,Short,2024,Q1,March
6684,14-03-2024,Mobile,New User,Social Media,105,Toys & Baby,1937.8,4,0,0,0,19,892,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,14,3,Thursday,Summer,Short,2024,Q1,March
2486,21-12-2024,Mobile,Returning User,Email Campaign,504,Home & Kitchen,986.19,1,0,0,986.19,15,1728,Added,Purchased,Not Abandoned,1,30,UPI,21,12,Saturday,Winter,Very Long,2024,Q4,December
7822,26-05-2024,Mobile,Returning User,Direct,341,Beauty & Personal Care,450.96,4,20,360.77,0,11,583,Added,Not Purchased,Abandoned,4,0,Credit Card,26,5,Sunday,Summer,Short,2024,Q2,May
7304,16-11-2024,Desktop,New User,Email Campaign,98,Fashion,384.67,4,5,76.93,0,10,1627,Added,Not Purchased,Abandoned,4,0,Net Banking,16,11,Saturday,Spring,Very Long,2024,Q4,November
4190,20-07-2024,Mobile,New User,Paid Ads,250,Books,464.23,4,20,371.38,1485.54,2,769,Added,Purchased,Not Abandoned,5,49,Cash on Delivery,20,7,Saturday,Autumn,Short,2024,Q3,July
1611,03-07-2024,Mobile,Returning User,Organic Search,621,Grocery,829.96,1,20,165.99,0,1,36,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,3,7,Wednesday,Autumn,Very Short,2024,Q3,July
9735,08-12-2024,Tablet,Returning User,Paid Ads,733,Electronics,344.48,3,30,310.03,0,14,1518,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,8,12,Sunday,Winter,Very Long,2024,Q4,December
5010,09-09-2024,Mobile,New User,Referral,277,Home & Kitchen,1113.7,1,5,55.68,1058.02,18,819,Added,Purchased,Not Abandoned,1,26,Credit Card,9,9,Monday,Spring,Short,2024,Q3,September
9037,28-03-2024,Mobile,Returning User,Referral,626,Fashion,601.67,2,10,120.33,1083.01,8,159,Added,Purchased,Not Abandoned,5,42,Cash on Delivery,28,3,Thursday,Summer,Very Short,2024,Q1,March
7100,12-04-2024,Desktop,Returning User,Email Campaign,895,Toys & Baby,420.59,2,0,0,0,1,1736,Added,Not Purchased,Abandoned,4,0,EMI,12,4,Friday,Summer,Very Long,2024,Q2,April
8004,31-08-2024,Desktop,Returning User,Paid Ads,98,Beauty & Personal Care,1472.25,1,15,220.84,0,20,361,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,31,8,Saturday,Autumn,Very Short,2024,Q3,August
7838,01-01-2024,Mobile,New User,Paid Ads,338,Home & Kitchen,1963.8,4,10,785.52,0,18,1257,Added,Not Purchased,Abandoned,4,0,Net Banking,1,1,Monday,Winter,Long,2024,Q1,January
2751,25-02-2024,Tablet,New User,Email Campaign,5,Fashion,324.28,3,10,97.28,0,6,499,Added,Not Purchased,Abandoned,4,0,UPI,25,2,Sunday,Winter,Short,2024,Q1,February
4274,28-01-2024,Desktop,New User,Email Campaign,149,Fashion,182.24,4,0,0,0,16,434,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,28,1,Sunday,Winter,Very Short,2024,Q1,January
5200,17-09-2024,Mobile,Returning User,Referral,737,Fashion,312.41,4,5,62.48,0,13,930,Added,Not Purchased,Abandoned,4,0,UPI,17,9,Tuesday,Spring,Long,2024,Q3,September
5479,10-06-2024,Mobile,Returning User,Paid Ads,735,Toys & Baby,1369.26,4,20,1095.41,0,7,168,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,10,6,Monday,Autumn,Very Short,2024,Q2,June
1394,05-01-2024,Tablet,New User,Referral,838,Toys & Baby,488.23,2,10,97.65,0,16,1594,Added,Not Purchased,Abandoned,4,0,Net Banking,5,1,Friday,Winter,Very Long,2024,Q1,January
5918,27-09-2024,Mobile,Returning User,Referral,561,Books,625.98,1,10,62.6,563.38,5,1242,Added,Purchased,Not Abandoned,4,23,UPI,27,9,Friday,Spring,Long,2024,Q3,September
2388,27-08-2024,Desktop,New User,Email Campaign,864,Fashion,162.17,2,0,0,0,20,1307,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,27,8,Tuesday,Autumn,Long,2024,Q3,August
7689,19-09-2024,Mobile,Returning User,Email Campaign,658,Grocery,1003.8,4,0,0,0,13,1687,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,19,9,Thursday,Spring,Very Long,2024,Q3,September
7146,29-02-2024,Mobile,Returning User,Referral,106,Grocery,752.04,2,0,0,0,19,889,Added,Not Purchased,Abandoned,4,0,Debit Card,29,2,Thursday,Winter,Short,2024,Q1,February
9301,15-11-2024,Desktop,New User,Email Campaign,418,Beauty & Personal Care,1493.22,2,0,0,0,8,1211,Added,Not Purchased,Abandoned,4,0,Debit Card,15,11,Friday,Spring,Long,2024,Q4,November
7702,06-03-2024,Tablet,New User,Referral,351,Beauty & Personal Care,702.87,2,10,140.57,0,9,508,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,6,3,Wednesday,Summer,Short,2024,Q1,March
4299,27-07-2024,Mobile,New User,Direct,85,Electronics,228.95,1,30,68.68,0,20,1223,Added,Not Purchased,Abandoned,4,0,Net Banking,27,7,Saturday,Autumn,Long,2024,Q3,July
9706,23-07-2024,Mobile,New User,Paid Ads,109,Electronics,509.21,4,10,203.68,0,19,1316,Added,Not Purchased,Abandoned,4,0,Net Banking,23,7,Tuesday,Autumn,Long,2024,Q3,July
4697,20-03-2024,Desktop,Returning User,Paid Ads,856,Electronics,544.5,3,10,163.35,0,6,1456,Added,Not Purchased,Abandoned,4,0,Net Banking,20,3,Wednesday,Summer,Very Long,2024,Q1,March
3932,17-05-2024,Desktop,New User,Paid Ads,839,Grocery,1191.35,3,0,0,0,3,1580,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,17,5,Friday,Summer,Very Long,2024,Q2,May
9148,20-01-2024,Desktop,Returning User,Organic Search,878,Books,1130.83,3,0,0,3392.49,23,412,Added,Purchased,Not Abandoned,5,39,Credit Card,20,1,Saturday,Winter,Very Short,2024,Q1,January
4333,21-06-2024,Mobile,Returning User,Organic Search,406,Books,311.68,2,20,124.67,498.69,12,1323,Added,Purchased,Not Abandoned,5,43,Debit Card,21,6,Friday,Autumn,Long,2024,Q2,June
1687,04-09-2024,Tablet,New User,Social Media,333,Home & Kitchen,1622.05,4,0,0,0,3,199,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,4,9,Wednesday,Spring,Very Short,2024,Q3,September
5225,22-04-2024,Mobile,New User,Social Media,817,Beauty & Personal Care,830.16,3,15,373.57,0,14,1541,Added,Not Purchased,Abandoned,4,0,EMI,22,4,Monday,Summer,Very Long,2024,Q2,April
8160,15-07-2024,Mobile,New User,Email Campaign,169,Sports & Fitness,377.62,1,0,0,377.62,6,734,Added,Purchased,Not Abandoned,5,42,EMI,15,7,Monday,Autumn,Short,2024,Q3,July
2705,14-12-2024,Mobile,Returning User,Organic Search,408,Electronics,956.9,4,25,956.9,0,13,1744,Not Added,Not Purchased,Not Abandoned,4,0,Credit Card,14,12,Saturday,Winter,Very Long,2024,Q4,December
5166,26-03-2024,Mobile,Returning User,Direct,678,Sports & Fitness,453.27,2,0,0,0,12,1363,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,26,3,Tuesday,Summer,Very Long,2024,Q1,March
2169,16-04-2024,Desktop,New User,Organic Search,81,Electronics,766.88,1,0,0,0,16,179,Added,Not Purchased,Abandoned,4,0,EMI,16,4,Tuesday,Summer,Very Short,2024,Q2,April
7177,13-02-2024,Mobile,New User,Paid Ads,239,Sports & Fitness,494.63,4,5,98.93,1879.59,12,637,Added,Purchased,Not Abandoned,3,3,Net Banking,13,2,Tuesday,Winter,Short,2024,Q1,February
5280,16-07-2024,Desktop,Returning User,Paid Ads,321,Sports & Fitness,361.94,3,30,325.75,760.07,4,1320,Added,Purchased,Not Abandoned,5,27,Net Banking,16,7,Tuesday,Autumn,Long,2024,Q3,July
3971,15-03-2024,Mobile,New User,Referral,887,Books,1001.55,1,0,0,0,22,889,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,15,3,Friday,Summer,Short,2024,Q1,March
3041,07-11-2024,Mobile,New User,Social Media,873,Grocery,205.08,3,20,123.05,0,19,1737,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,7,11,Thursday,Spring,Very Long,2024,Q4,November
6079,16-04-2024,Desktop,New User,Organic Search,209,Beauty & Personal Care,1148.23,1,5,57.41,0,1,687,Added,Not Purchased,Abandoned,4,0,UPI,16,4,Tuesday,Summer,Short,2024,Q2,April
7027,30-08-2024,Desktop,New User,Email Campaign,787,Books,880.53,2,5,88.05,0,23,1701,Added,Not Purchased,Abandoned,4,0,Debit Card,30,8,Friday,Autumn,Very Long,2024,Q3,August
9461,10-03-2024,Mobile,Returning User,Paid Ads,550,Fashion,240.22,2,5,24.02,0,20,928,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,10,3,Sunday,Summer,Long,2024,Q1,March
4933,27-04-2024,Mobile,Returning User,Email Campaign,461,Beauty & Personal Care,717.73,1,0,0,0,17,1243,Not Added,Not Purchased,Not Abandoned,4,0,Credit Card,27,4,Saturday,Summer,Long,2024,Q2,April
2446,03-03-2024,Desktop,New User,Social Media,185,Home & Kitchen,1576.25,4,0,0,6305,4,1581,Added,Purchased,Not Abandoned,3,45,Net Banking,3,3,Sunday,Summer,Very Long,2024,Q1,March
8493,20-07-2024,Desktop,New User,Organic Search,295,Books,467.97,3,0,0,0,13,1088,Added,Not Purchased,Abandoned,4,0,Net Banking,20,7,Saturday,Autumn,Long,2024,Q3,July
6667,11-01-2024,Desktop,Returning User,Organic Search,492,Books,1155.56,2,5,115.56,0,6,33,Added,Not Purchased,Abandoned,4,0,EMI,11,1,Thursday,Winter,Very Short,2024,Q1,January
7301,31-01-2024,Desktop,New User,Referral,147,Fashion,266.92,3,0,0,0,17,1767,Added,Not Purchased,Abandoned,4,0,Net Banking,31,1,Wednesday,Winter,Very Long,2024,Q1,January
1874,02-07-2024,Mobile,Returning User,Paid Ads,421,Electronics,194.94,2,10,38.99,0,2,1623,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,2,7,Tuesday,Autumn,Very Long,2024,Q3,July
3810,18-07-2024,Tablet,Returning User,Referral,123,Home & Kitchen,1894.89,2,0,0,0,19,1343,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,18,7,Thursday,Autumn,Long,2024,Q3,July
7909,30-04-2024,Mobile,Returning User,Direct,78,Toys & Baby,1392.83,4,0,0,5571.32,16,302,Added,Purchased,Not Abandoned,5,13,Debit Card,30,4,Tuesday,Summer,Very Short,2024,Q2,April
8489,06-06-2024,Mobile,New User,Organic Search,139,Books,811.02,3,0,0,0,22,1666,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,6,6,Thursday,Autumn,Very Long,2024,Q2,June
4916,01-06-2024,Desktop,Returning User,Paid Ads,679,Grocery,267.27,3,5,40.09,0,10,240,Not Added,Not Purchased,Not Abandoned,4,0,EMI,1,6,Saturday,Autumn,Very Short,2024,Q2,June
8242,03-10-2024,Mobile,New User,Direct,478,Grocery,537.22,3,15,241.75,0,7,677,Added,Not Purchased,Abandoned,4,0,Credit Card,3,10,Thursday,Spring,Short,2024,Q4,October
8574,11-06-2024,Desktop,Returning User,Direct,741,Electronics,713.73,4,20,570.98,0,7,1780,Added,Not Purchased,Abandoned,4,0,Credit Card,11,6,Tuesday,Autumn,Very Long,2024,Q2,June
4486,05-11-2024,Mobile,Returning User,Direct,628,Electronics,326.38,1,0,0,0,18,198,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,5,11,Tuesday,Spring,Very Short,2024,Q4,November
9081,20-03-2024,Desktop,Returning User,Social Media,41,Books,1299.26,3,5,194.89,0,21,1026,Added,Not Purchased,Abandoned,4,0,Debit Card,20,3,Wednesday,Summer,Long,2024,Q1,March
3594,13-03-2024,Desktop,New User,Direct,266,Home & Kitchen,1315.98,2,15,394.79,0,18,1590,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,13,3,Wednesday,Summer,Very Long,2024,Q1,March
3155,27-05-2024,Desktop,Returning User,Referral,306,Electronics,712.19,1,0,0,0,23,628,Added,Not Purchased,Abandoned,4,0,Credit Card,27,5,Monday,Summer,Short,2024,Q2,May
7141,30-01-2024,Desktop,Returning User,Social Media,884,Home & Kitchen,1872.33,4,5,374.47,0,2,983,Added,Not Purchased,Abandoned,4,0,UPI,30,1,Tuesday,Winter,Long,2024,Q1,January
6730,01-09-2024,Mobile,New User,Social Media,538,Grocery,850.72,1,15,127.61,0,13,1473,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,1,9,Sunday,Spring,Very Long,2024,Q3,September
2257,22-05-2024,Desktop,Returning User,Social Media,419,Fashion,412.72,1,15,61.91,0,24,662,Added,Not Purchased,Abandoned,4,0,Credit Card,22,5,Wednesday,Summer,Short,2024,Q2,May
8493,13-05-2024,Desktop,Returning User,Direct,840,Electronics,988.76,1,20,197.75,0,20,906,Added,Not Purchased,Abandoned,4,0,Credit Card,13,5,Monday,Summer,Long,2024,Q2,May
2798,13-07-2024,Desktop,Returning User,Organic Search,535,Home & Kitchen,1855.47,3,20,1113.28,0,2,114,Added,Not Purchased,Abandoned,4,0,UPI,13,7,Saturday,Autumn,Very Short,2024,Q3,July
8243,30-01-2024,Mobile,New User,Direct,659,Books,1311.93,4,10,524.77,0,2,1701,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,30,1,Tuesday,Winter,Very Long,2024,Q1,January
1066,17-05-2024,Mobile,Returning User,Paid Ads,481,Books,845.68,4,25,845.68,0,13,1264,Added,Not Purchased,Abandoned,4,0,UPI,17,5,Friday,Summer,Long,2024,Q2,May
8170,20-12-2024,Mobile,New User,Social Media,364,Electronics,155.36,3,0,0,0,17,1774,Added,Not Purchased,Abandoned,4,0,Net Banking,20,12,Friday,Winter,Very Long,2024,Q4,December
8081,17-08-2024,Desktop,Returning User,Email Campaign,693,Beauty & Personal Care,884.9,1,20,176.98,707.92,19,1013,Added,Purchased,Not Abandoned,4,47,Debit Card,17,8,Saturday,Autumn,Long,2024,Q3,August
8022,28-07-2024,Desktop,Returning User,Social Media,328,Books,1156.58,3,0,0,0,12,471,Added,Not Purchased,Abandoned,4,0,Net Banking,28,7,Sunday,Autumn,Short,2024,Q3,July
6982,03-07-2024,Tablet,New User,Direct,841,Fashion,646.87,4,5,129.37,0,21,1014,Not Added,Not Purchased,Not Abandoned,4,0,UPI,3,7,Wednesday,Autumn,Long,2024,Q3,July
5243,20-06-2024,Desktop,Returning User,Social Media,299,Electronics,605.61,2,10,121.12,0,18,1698,Added,Not Purchased,Abandoned,4,0,EMI,20,6,Thursday,Autumn,Very Long,2024,Q2,June
7345,07-12-2024,Desktop,Returning User,Direct,761,Electronics,549.85,3,10,164.96,0,14,1773,Added,Not Purchased,Abandoned,4,0,EMI,7,12,Saturday,Winter,Very Long,2024,Q4,December
3493,05-12-2024,Desktop,New User,Direct,66,Books,1289.36,2,15,386.81,0,4,127,Added,Not Purchased,Abandoned,4,0,EMI,5,12,Thursday,Winter,Very Short,2024,Q4,December
8025,29-05-2024,Mobile,New User,Direct,462,Toys & Baby,317.14,2,10,63.43,570.85,5,1017,Added,Purchased,Not Abandoned,5,17,UPI,29,5,Wednesday,Summer,Long,2024,Q2,May
6000,03-12-2024,Desktop,Returning User,Referral,432,Beauty & Personal Care,1490.71,3,30,1341.64,0,23,1102,Not Added,Not Purchased,Not Abandoned,4,0,UPI,3,12,Tuesday,Winter,Long,2024,Q4,December
5129,31-01-2024,Desktop,Returning User,Paid Ads,843,Fashion,346.05,2,5,34.61,0,23,1111,Added,Not Purchased,Abandoned,4,0,Credit Card,31,1,Wednesday,Winter,Long,2024,Q1,January
5549,26-04-2024,Mobile,New User,Social Media,335,Sports & Fitness,445.17,3,15,200.33,0,22,826,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,26,4,Friday,Summer,Short,2024,Q2,April
6118,20-04-2024,Mobile,Returning User,Social Media,376,Electronics,297.9,3,10,89.37,0,6,601,Not Added,Not Purchased,Not Abandoned,4,0,Net Banking,20,4,Saturday,Summer,Short,2024,Q2,April
1335,11-09-2024,Mobile,New User,Email Campaign,55,Beauty & Personal Care,1168.82,1,20,233.76,0,10,1159,Not Added,Not Purchased,Not Abandoned,4,0,Credit Card,11,9,Wednesday,Spring,Long,2024,Q3,September
2258,09-08-2024,Desktop,New User,Paid Ads,66,Electronics,342.89,2,10,68.58,617.2,20,855,Added,Purchased,Not Abandoned,3,30,UPI,9,8,Friday,Autumn,Short,2024,Q3,August
3209,21-06-2024,Mobile,Returning User,Email Campaign,504,Grocery,504.35,2,0,0,0,3,469,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,21,6,Friday,Autumn,Short,2024,Q2,June
2030,03-04-2024,Mobile,New User,Social Media,119,Books,415.02,1,0,0,415.02,8,1034,Added,Purchased,Not Abandoned,2,33,Debit Card,3,4,Wednesday,Summer,Long,2024,Q2,April
4956,04-07-2024,Mobile,Returning User,Paid Ads,301,Beauty & Personal Care,1499.58,1,20,299.92,1199.66,8,1575,Added,Purchased,Not Abandoned,2,25,Cash on Delivery,4,7,Thursday,Autumn,Very Long,2024,Q3,July
7014,08-04-2024,Desktop,New User,Organic Search,855,Books,772.57,3,10,231.77,0,21,166,Added,Not Purchased,Abandoned,4,0,Credit Card,8,4,Monday,Summer,Very Short,2024,Q2,April
6889,30-06-2024,Desktop,New User,Referral,261,Grocery,217.59,1,0,0,0,20,992,Added,Not Purchased,Abandoned,4,0,Credit Card,30,6,Sunday,Autumn,Long,2024,Q2,June
5239,03-05-2024,Tablet,Returning User,Paid Ads,845,Toys & Baby,625.89,1,5,31.29,594.6,9,1739,Added,Purchased,Not Abandoned,1,34,Debit Card,3,5,Friday,Summer,Very Long,2024,Q2,May
8694,20-11-2024,Desktop,New User,Organic Search,376,Toys & Baby,652.85,4,10,261.14,0,2,1756,Not Added,Not Purchased,Not Abandoned,4,0,Credit Card,20,11,Wednesday,Spring,Very Long,2024,Q4,November
6086,29-09-2024,Mobile,Returning User,Paid Ads,821,Beauty & Personal Care,982.23,4,0,0,3928.92,22,1101,Added,Purchased,Not Abandoned,4,41,UPI,29,9,Sunday,Spring,Long,2024,Q3,September
1712,04-03-2024,Mobile,Returning User,Direct,314,Home & Kitchen,832.56,4,0,0,0,12,1181,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,4,3,Monday,Summer,Long,2024,Q1,March
7884,09-12-2024,Desktop,Returning User,Paid Ads,675,Home & Kitchen,1910.48,1,20,382.1,0,8,1069,Not Added,Not Purchased,Not Abandoned,4,0,Credit Card,9,12,Monday,Winter,Long,2024,Q4,December
6170,28-08-2024,Desktop,Returning User,Paid Ads,134,Fashion,107.69,4,5,21.54,409.22,2,653,Added,Purchased,Not Abandoned,3,26,EMI,28,8,Wednesday,Autumn,Short,2024,Q3,August
