customer_id,total_purchases,total_revenue,avg_order_value,product_category,device_type,payment_method,marketing_channel,days_since_purchase,churn_status,is_churned,churn_risk
1076,1,1449.62,1449.62,Grocery,Desktop,Debit Card,Organic Search,342,Churned,1,Churned
1077,1,1959.6,1959.6,Grocery,Mobile,Credit Card,Social Media,89,Active,0,High Risk
1078,1,490.0,490.0,Electronics,Mobile,Net Banking,Social Media,215,Churned,1,Churned
1079,1,4252.77,4252.77,Books,Mobile,EMI,Email Campaign,107,Churned,1,Churned
1080,1,2111.96,2111.96,Fashion,Desktop,Debit Card,Social Media,124,Churned,1,Churned
1082,1,1601.42,1601.42,Electronics,Mobile,Credit Card,Paid Ads,225,Churned,1,Churned
1083,1,1056.76,1056.76,Beauty & Personal Care,Desktop,EMI,Email Campaign,166,Churned,1,Churned
1084,1,3648.04,3648.04,Grocery,Mobile,UPI,Direct,355,Churned,1,Churned
1086,1,1236.24,1236.24,Fashion,Desktop,UPI,Referral,339,Churned,1,Churned
1087,1,222.61,222.61,Sports & Fitness,Mobile,Net Banking,Referral,218,Churned,1,Churned
1089,1,2169.46,2169.46,Toys & Baby,Desktop,EMI,Referral,212,Churned,1,Churned
1090,1,3331.6,3331.6,Home & Kitchen,Desktop,UPI,Email Campaign,216,Churned,1,Churned
1092,1,2987.93,2987.93,Books,Desktop,EMI,Social Media,166,Churned,1,Churned
1095,2,3681.54,1840.77,Books,Desktop,Cash on Delivery,Direct,50,Active,0,Medium Risk
1096,2,4912.93,2456.465,Beauty & Personal Care,Desktop,EMI,Email Campaign,136,Churned,1,Churned
1099,1,2717.82,2717.82,Grocery,Mobile,Debit Card,Social Media,88,Active,0,High Risk
1100,2,788.77,394.385,Fashion,Desktop,Cash on Delivery,Direct,141,Churned,1,Churned
1101,1,1339.45,1339.45,Fashion,Tablet,Cash on Delivery,Paid Ads,42,Active,0,Medium Risk
1105,1,1244.58,1244.58,Electronics,Desktop,Net Banking,Organic Search,327,Churned,1,Churned
1110,1,2098.22,2098.22,Toys & Baby,Mobile,Cash on Delivery,Email Campaign,41,Active,0,Medium Risk
1111,1,1839.86,1839.86,Beauty & Personal Care,Desktop,EMI,Paid Ads,223,Churned,1,Churned
1112,1,2540.56,2540.56,Home & Kitchen,Mobile,Credit Card,Organic Search,323,Churned,1,Churned
1115,1,1763.68,1763.68,Grocery,Desktop,EMI,Organic Search,214,Churned,1,Churned
1118,1,4522.5,4522.5,Home & Kitchen,Desktop,UPI,Organic Search,351,Churned,1,Churned
1121,1,1894.59,1894.59,Books,Desktop,Net Banking,Social Media,227,Churned,1,Churned
1124,2,1684.02,842.01,Electronics,Desktop,Cash on Delivery,Organic Search,68,Active,0,High Risk
1126,2,2051.36,1025.68,Sports & Fitness,Desktop,Debit Card,Referral,126,Churned,1,Churned
1130,1,1026.78,1026.78,Fashion,Mobile,Net Banking,Social Media,196,Churned,1,Churned
1131,1,1150.86,1150.86,Sports & Fitness,Desktop,EMI,Referral,182,Churned,1,Churned
1132,2,3476.2200000000003,1738.1100000000001,Books,Desktop,Debit Card,Referral,124,Churned,1,Churned
1134,3,7061.16,2353.72,Fashion,Desktop,Credit Card,Email Campaign,53,Active,0,Medium Risk
1138,1,924.05,924.05,Grocery,Mobile,Net Banking,Paid Ads,29,Active,0,Low Risk
1145,1,997.25,997.25,Beauty & Personal Care,Desktop,Cash on Delivery,Referral,56,Active,0,Medium Risk
1146,1,2950.09,2950.09,Home & Kitchen,Desktop,Debit Card,Email Campaign,32,Active,0,Medium Risk
1148,1,843.58,843.58,Fashion,Desktop,UPI,Direct,351,Churned,1,Churned
1150,1,2340.49,2340.49,Beauty & Personal Care,Tablet,Net Banking,Social Media,234,Churned,1,Churned
1151,1,673.69,673.69,Books,Mobile,EMI,Email Campaign,64,Active,0,High Risk
1152,1,772.78,772.78,Books,Mobile,Debit Card,Paid Ads,109,Churned,1,Churned
1153,1,1069.29,1069.29,Grocery,Mobile,Cash on Delivery,Paid Ads,86,Active,0,High Risk
1155,2,4908.51,2454.255,Beauty & Personal Care,Mobile,Cash on Delivery,Organic Search,115,Churned,1,Churned
1158,1,2864.37,2864.37,Home & Kitchen,Desktop,EMI,Referral,64,Active,0,High Risk
1159,1,5605.16,5605.16,Toys & Baby,Desktop,EMI,Paid Ads,288,Churned,1,Churned
1160,1,2058.0,2058.0,Beauty & Personal Care,Mobile,Debit Card,Email Campaign,240,Churned,1,Churned
1162,1,1483.14,1483.14,Electronics,Desktop,Cash on Delivery,Social Media,336,Churned,1,Churned
1163,1,403.7,403.7,Home & Kitchen,Mobile,UPI,Organic Search,81,Active,0,High Risk
1164,1,1126.58,1126.58,Toys & Baby,Tablet,Net Banking,Direct,180,Churned,1,Churned
1165,2,1357.8700000000001,678.9350000000001,Fashion,Mobile,Cash on Delivery,Direct,31,Active,0,Medium Risk
1167,2,3059.2,1529.6,Beauty & Personal Care,Mobile,Cash on Delivery,Direct,18,Active,0,Low Risk
1169,2,947.29,473.645,Fashion,Desktop,Cash on Delivery,Email Campaign,148,Churned,1,Churned
1172,1,332.26,332.26,Fashion,Desktop,Cash on Delivery,Organic Search,265,Churned,1,Churned
1174,1,1507.02,1507.02,Grocery,Mobile,EMI,Organic Search,171,Churned,1,Churned
1175,2,2666.8900000000003,1333.4450000000002,Beauty & Personal Care,Mobile,Credit Card,Email Campaign,128,Churned,1,Churned
1177,1,756.39,756.39,Electronics,Tablet,EMI,Email Campaign,142,Churned,1,Churned
1183,1,5294.04,5294.04,Home & Kitchen,Tablet,Credit Card,Direct,263,Churned,1,Churned
1184,2,3314.81,1657.405,Beauty & Personal Care,Desktop,EMI,Paid Ads,181,Churned,1,Churned
1187,2,9145.76,4572.88,Electronics,Mobile,Debit Card,Paid Ads,26,Active,0,Low Risk
1188,3,1550.69,516.8966666666666,Electronics,Desktop,Credit Card,Paid Ads,20,Active,0,Low Risk
1190,2,1456.45,728.225,Grocery,Desktop,Credit Card,Social Media,39,Active,0,Medium Risk
1193,1,1818.94,1818.94,Beauty & Personal Care,Desktop,Net Banking,Organic Search,360,Churned,1,Churned
1195,1,1219.67,1219.67,Books,Desktop,Cash on Delivery,Organic Search,2,Active,0,Low Risk
1196,2,5634.82,2817.41,Electronics,Mobile,Cash on Delivery,Organic Search,255,Churned,1,Churned
1197,1,4518.88,4518.88,Toys & Baby,Mobile,Debit Card,Organic Search,26,Active,0,Low Risk
1198,1,973.3,973.3,Books,Mobile,Net Banking,Email Campaign,178,Churned,1,Churned
1200,1,1897.32,1897.32,Electronics,Mobile,UPI,Paid Ads,64,Active,0,High Risk
1202,1,1248.59,1248.59,Beauty & Personal Care,Desktop,Cash on Delivery,Referral,294,Churned,1,Churned
1203,2,3619.66,1809.83,Books,Mobile,Credit Card,Organic Search,238,Churned,1,Churned
1204,1,969.32,969.32,Fashion,Mobile,Credit Card,Social Media,41,Active,0,Medium Risk
1206,1,3324.51,3324.51,Toys & Baby,Mobile,Credit Card,Social Media,319,Churned,1,Churned
1208,1,1136.65,1136.65,Books,Desktop,EMI,Organic Search,179,Churned,1,Churned
1209,1,816.6,816.6,Electronics,Tablet,Credit Card,Direct,310,Churned,1,Churned
1212,3,2666.46,888.82,Fashion,Desktop,Debit Card,Social Media,32,Active,0,Medium Risk
1213,1,744.78,744.78,Electronics,Mobile,Debit Card,Organic Search,109,Churned,1,Churned
1214,1,3055.83,3055.83,Toys & Baby,Desktop,EMI,Social Media,323,Churned,1,Churned
1215,1,1328.42,1328.42,Fashion,Mobile,Net Banking,Email Campaign,53,Active,0,Medium Risk
1218,2,3526.43,1763.215,Grocery,Desktop,Cash on Delivery,Email Campaign,69,Active,0,High Risk
1220,1,1765.86,1765.86,Books,Desktop,EMI,Paid Ads,209,Churned,1,Churned
1222,1,898.63,898.63,Books,Tablet,EMI,Referral,344,Churned,1,Churned
1223,1,522.78,522.78,Home & Kitchen,Desktop,EMI,Referral,63,Active,0,High Risk
1225,1,268.76,268.76,Sports & Fitness,Desktop,Debit Card,Referral,128,Churned,1,Churned
1226,1,1203.09,1203.09,Electronics,Mobile,Debit Card,Social Media,48,Active,0,Medium Risk
1227,1,4039.92,4039.92,Home & Kitchen,Mobile,Cash on Delivery,Referral,19,Active,0,Low Risk
1228,1,829.75,829.75,Books,Mobile,Debit Card,Social Media,301,Churned,1,Churned
1229,1,651.56,651.56,Sports & Fitness,Mobile,EMI,Organic Search,358,Churned,1,Churned
1231,1,741.57,741.57,Toys & Baby,Desktop,Cash on Delivery,Paid Ads,77,Active,0,High Risk
1234,1,377.35,377.35,Sports & Fitness,Desktop,Net Banking,Direct,224,Churned,1,Churned
1240,1,1882.12,1882.12,Grocery,Desktop,EMI,Social Media,98,Churned,1,Churned
1241,2,3617.15,1808.575,Books,Desktop,Credit Card,Direct,125,Churned,1,Churned
1243,1,3898.5,3898.5,Toys & Baby,Desktop,Debit Card,Organic Search,147,Churned,1,Churned
1244,2,3078.65,1539.325,Sports & Fitness,Mobile,Cash on Delivery,Direct,51,Active,0,Medium Risk
1252,2,7790.94,3895.47,Books,Desktop,EMI,Direct,48,Active,0,Medium Risk
1253,1,2191.33,2191.33,Books,Desktop,UPI,Email Campaign,251,Churned,1,Churned
1262,1,797.16,797.16,Sports & Fitness,Desktop,Net Banking,Direct,296,Churned,1,Churned
1264,1,1712.22,1712.22,Books,Desktop,Debit Card,Email Campaign,98,Churned,1,Churned
1268,1,1455.21,1455.21,Home & Kitchen,Tablet,Credit Card,Referral,15,Active,0,Low Risk
1269,1,1787.02,1787.02,Books,Mobile,Cash on Delivery,Referral,183,Churned,1,Churned
1270,2,3845.93,1922.965,Beauty & Personal Care,Desktop,Debit Card,Organic Search,99,Churned,1,Churned
1271,1,1130.35,1130.35,Beauty & Personal Care,Desktop,Debit Card,Direct,137,Churned,1,Churned
1274,1,2065.7,2065.7,Toys & Baby,Mobile,Debit Card,Paid Ads,273,Churned,1,Churned
1275,2,7788.92,3894.46,Books,Desktop,Debit Card,Referral,145,Churned,1,Churned
1277,1,414.36,414.36,Sports & Fitness,Desktop,Net Banking,Email Campaign,294,Churned,1,Churned
1278,2,4367.72,2183.86,Fashion,Mobile,EMI,Direct,83,Active,0,High Risk
1279,1,3180.17,3180.17,Home & Kitchen,Mobile,Credit Card,Referral,301,Churned,1,Churned
1282,1,281.46,281.46,Sports & Fitness,Desktop,UPI,Organic Search,40,Active,0,Medium Risk
1283,1,3166.32,3166.32,Grocery,Desktop,EMI,Social Media,51,Active,0,Medium Risk
1284,1,6649.04,6649.04,Home & Kitchen,Desktop,EMI,Paid Ads,153,Churned,1,Churned
1285,1,2942.34,2942.34,Fashion,Desktop,Credit Card,Email Campaign,363,Churned,1,Churned
1290,2,1015.6500000000001,507.82500000000005,Beauty & Personal Care,Desktop,Cash on Delivery,Direct,44,Active,0,Medium Risk
1291,1,2457.68,2457.68,Fashion,Tablet,Credit Card,Direct,359,Churned,1,Churned
1292,2,3075.91,1537.955,Beauty & Personal Care,Desktop,Debit Card,Direct,289,Churned,1,Churned
1295,1,267.34,267.34,Toys & Baby,Mobile,Cash on Delivery,Direct,175,Churned,1,Churned
1298,1,285.16,285.16,Beauty & Personal Care,Desktop,UPI,Direct,278,Churned,1,Churned
1302,1,821.62,821.62,Home & Kitchen,Desktop,Credit Card,Social Media,42,Active,0,Medium Risk
1303,1,989.88,989.88,Beauty & Personal Care,Mobile,Net Banking,Email Campaign,317,Churned,1,Churned
1304,1,529.27,529.27,Beauty & Personal Care,Mobile,Net Banking,Referral,81,Active,0,High Risk
1307,1,553.52,553.52,Sports & Fitness,Mobile,Net Banking,Referral,326,Churned,1,Churned
1308,1,566.61,566.61,Electronics,Tablet,Net Banking,Social Media,320,Churned,1,Churned
1312,2,6037.98,3018.99,Grocery,Mobile,Cash on Delivery,Direct,303,Churned,1,Churned
1315,1,1937.57,1937.57,Books,Desktop,Credit Card,Email Campaign,173,Churned,1,Churned
1316,5,9432.31,1886.462,Grocery,Desktop,Credit Card,Direct,34,Active,0,Medium Risk
1317,4,8119.4400000000005,2029.8600000000001,Books,Mobile,EMI,Direct,30,Active,0,Low Risk
1318,2,1692.53,846.265,Electronics,Desktop,Cash on Delivery,Referral,149,Churned,1,Churned
1319,2,3602.98,1801.49,Grocery,Desktop,Debit Card,Referral,110,Churned,1,Churned
1322,2,2239.44,1119.72,Books,Mobile,Cash on Delivery,Email Campaign,126,Churned,1,Churned
1323,1,3132.29,3132.29,Beauty & Personal Care,Mobile,Cash on Delivery,Paid Ads,212,Churned,1,Churned
1324,1,3519.68,3519.68,Home & Kitchen,Tablet,Net Banking,Social Media,90,Active,0,High Risk
1327,2,4069.45,2034.725,Fashion,Desktop,Cash on Delivery,Email Campaign,1,Active,0,Low Risk
1329,1,443.01,443.01,Sports & Fitness,Mobile,UPI,Organic Search,98,Churned,1,Churned
1331,1,4930.51,4930.51,Toys & Baby,Desktop,EMI,Email Campaign,133,Churned,1,Churned
1332,1,3016.32,3016.32,Grocery,Mobile,Cash on Delivery,Email Campaign,271,Churned,1,Churned
1334,5,12203.21,2440.642,Electronics,Desktop,Cash on Delivery,Direct,15,Active,0,Low Risk
1335,3,3522.92,1174.3066666666666,Fashion,Desktop,Credit Card,Paid Ads,10,Active,0,Low Risk
1336,1,3797.19,3797.19,Beauty & Personal Care,Desktop,Debit Card,Social Media,109,Churned,1,Churned
1337,1,783.06,783.06,Home & Kitchen,Desktop,EMI,Paid Ads,230,Churned,1,Churned
1339,1,530.31,530.31,Grocery,Mobile,Credit Card,Paid Ads,300,Churned,1,Churned
1343,1,3053.36,3053.36,Home & Kitchen,Mobile,Credit Card,Paid Ads,23,Active,0,Low Risk
1345,1,256.67,256.67,Sports & Fitness,Desktop,Net Banking,Email Campaign,164,Churned,1,Churned
1347,1,3357.67,3357.67,Electronics,Desktop,Cash on Delivery,Paid Ads,266,Churned,1,Churned
1348,1,4789.77,4789.77,Toys & Baby,Desktop,UPI,Email Campaign,208,Churned,1,Churned
1349,1,307.29,307.29,Grocery,Mobile,Net Banking,Paid Ads,180,Churned,1,Churned
1350,3,1480.29,493.43,Sports & Fitness,Mobile,Cash on Delivery,Social Media,293,Churned,1,Churned
1351,1,4652.64,4652.64,Books,Mobile,Cash on Delivery,Organic Search,89,Active,0,High Risk
1352,2,1316.79,658.395,Grocery,Mobile,Cash on Delivery,Paid Ads,246,Churned,1,Churned
1356,1,2397.1,2397.1,Beauty & Personal Care,Mobile,Debit Card,Direct,106,Churned,1,Churned
1357,1,1199.55,1199.55,Beauty & Personal Care,Desktop,Net Banking,Email Campaign,301,Churned,1,Churned
1360,3,3696.46,1232.1533333333334,Grocery,Desktop,Net Banking,Email Campaign,139,Churned,1,Churned
1361,3,4596.29,1532.0966666666666,Books,Desktop,EMI,Social Media,3,Active,0,Low Risk
1362,1,3356.54,3356.54,Beauty & Personal Care,Desktop,UPI,Referral,330,Churned,1,Churned
1363,2,181.93,90.965,Sports & Fitness,Desktop,Credit Card,Email Campaign,151,Churned,1,Churned
1365,2,3247.63,1623.815,Books,Desktop,Cash on Delivery,Direct,57,Active,0,Medium Risk
1366,1,4299.17,4299.17,Home & Kitchen,Mobile,Debit Card,Social Media,84,Active,0,High Risk
1368,2,4747.9400000000005,2373.9700000000003,Grocery,Desktop,Cash on Delivery,Direct,123,Churned,1,Churned
1370,1,1920.92,1920.92,Grocery,Desktop,Debit Card,Paid Ads,56,Active,0,Medium Risk
1372,2,7627.08,3813.54,Home & Kitchen,Mobile,Cash on Delivery,Direct,231,Churned,1,Churned
1378,3,2604.1,868.0333333333333,Electronics,Desktop,EMI,Email Campaign,31,Active,0,Medium Risk
1379,1,863.94,863.94,Fashion,Desktop,Net Banking,Direct,223,Churned,1,Churned
1380,1,700.35,700.35,Fashion,Mobile,EMI,Paid Ads,157,Churned,1,Churned
1381,1,566.3,566.3,Home & Kitchen,Mobile,Credit Card,Organic Search,217,Churned,1,Churned
1382,2,4061.77,2030.885,Books,Desktop,Debit Card,Email Campaign,107,Churned,1,Churned
1385,1,3694.52,3694.52,Books,Desktop,Credit Card,Social Media,346,Churned,1,Churned
1386,2,3064.78,1532.39,Beauty & Personal Care,Desktop,EMI,Direct,44,Active,0,Medium Risk
1387,2,1111.73,555.865,Books,Mobile,Cash on Delivery,Email Campaign,67,Active,0,High Risk
1388,1,3964.28,3964.28,Beauty & Personal Care,Tablet,UPI,Social Media,203,Churned,1,Churned
1395,2,2703.44,1351.72,Books,Desktop,Credit Card,Email Campaign,218,Churned,1,Churned
1397,1,2856.24,2856.24,Beauty & Personal Care,Mobile,EMI,Referral,155,Churned,1,Churned
1398,1,663.37,663.37,Grocery,Tablet,UPI,Paid Ads,364,Churned,1,Churned
1400,1,527.51,527.51,Electronics,Desktop,Debit Card,Direct,124,Churned,1,Churned
1403,2,2038.8500000000001,1019.4250000000001,Books,Desktop,Cash on Delivery,Direct,66,Active,0,High Risk
1404,2,1646.99,823.495,Books,Desktop,Cash on Delivery,Direct,32,Active,0,Medium Risk
1405,1,1296.62,1296.62,Fashion,Desktop,Net Banking,Organic Search,309,Churned,1,Churned
1410,1,162.49,162.49,Sports & Fitness,Desktop,Cash on Delivery,Social Media,214,Churned,1,Churned
1412,1,698.61,698.61,Sports & Fitness,Desktop,UPI,Direct,4,Active,0,Low Risk
1418,1,829.86,829.86,Grocery,Desktop,Debit Card,Organic Search,55,Active,0,Medium Risk
1419,2,5203.04,2601.52,Beauty & Personal Care,Mobile,Cash on Delivery,Direct,100,Churned,1,Churned
1420,1,4219.62,4219.62,Home & Kitchen,Desktop,UPI,Email Campaign,287,Churned,1,Churned
1422,1,2685.78,2685.78,Beauty & Personal Care,Desktop,Cash on Delivery,Email Campaign,120,Churned,1,Churned
1423,1,1066.1,1066.1,Toys & Baby,Tablet,Debit Card,Direct,361,Churned,1,Churned
1424,1,513.7,513.7,Sports & Fitness,Mobile,EMI,Direct,23,Active,0,Low Risk
1425,1,518.32,518.32,Toys & Baby,Desktop,UPI,Direct,276,Churned,1,Churned
1427,1,2279.68,2279.68,Beauty & Personal Care,Mobile,Net Banking,Direct,34,Active,0,Medium Risk
1430,1,3753.0,3753.0,Home & Kitchen,Mobile,Cash on Delivery,Direct,89,Active,0,High Risk
1433,2,8307.94,4153.97,Fashion,Desktop,Net Banking,Direct,242,Churned,1,Churned
1434,1,2580.84,2580.84,Electronics,Desktop,UPI,Direct,139,Churned,1,Churned
1436,1,3005.46,3005.46,Beauty & Personal Care,Desktop,Cash on Delivery,Direct,322,Churned,1,Churned
1437,2,1919.23,959.615,Sports & Fitness,Desktop,Credit Card,Organic Search,60,Active,0,Medium Risk
1438,1,313.88,313.88,Beauty & Personal Care,Mobile,Cash on Delivery,Organic Search,323,Churned,1,Churned
1440,1,5960.25,5960.25,Home & Kitchen,Mobile,EMI,Direct,167,Churned,1,Churned
1441,1,503.92,503.92,Fashion,Mobile,Credit Card,Referral,277,Churned,1,Churned
1445,2,2774.91,1387.455,Grocery,Desktop,Debit Card,Email Campaign,83,Active,0,High Risk
1447,2,2317.7200000000003,1158.8600000000001,Fashion,Mobile,Cash on Delivery,Direct,19,Active,0,Low Risk
1450,1,2384.76,2384.76,Electronics,Desktop,UPI,Social Media,311,Churned,1,Churned
1451,1,471.13,471.13,Electronics,Desktop,Debit Card,Social Media,95,Churned,1,Churned
1454,1,2611.03,2611.03,Toys & Baby,Desktop,Cash on Delivery,Referral,50,Active,0,Medium Risk
1455,1,254.85,254.85,Fashion,Desktop,Cash on Delivery,Social Media,278,Churned,1,Churned
1456,2,2899.21,1449.605,Beauty & Personal Care,Desktop,Cash on Delivery,Direct,261,Churned,1,Churned
1458,2,2026.27,1013.135,Books,Desktop,EMI,Email Campaign,23,Active,0,Low Risk
1461,1,579.51,579.51,Toys & Baby,Mobile,Cash on Delivery,Direct,6,Active,0,Low Risk
1462,2,1191.03,595.515,Electronics,Mobile,Debit Card,Direct,53,Active,0,Medium Risk
1463,1,4949.6,4949.6,Books,Mobile,Net Banking,Social Media,72,Active,0,High Risk
1464,2,1238.58,619.29,Fashion,Desktop,Cash on Delivery,Direct,291,Churned,1,Churned
1466,1,1417.23,1417.23,Grocery,Desktop,Net Banking,Email Campaign,171,Churned,1,Churned
1467,2,1121.45,560.725,Grocery,Mobile,Cash on Delivery,Direct,137,Churned,1,Churned
1471,1,1161.18,1161.18,Electronics,Mobile,Debit Card,Paid Ads,47,Active,0,Medium Risk
1472,1,220.52,220.52,Electronics,Mobile,UPI,Paid Ads,259,Churned,1,Churned
1473,1,1213.67,1213.67,Sports & Fitness,Mobile,EMI,Email Campaign,143,Churned,1,Churned
1477,1,2809.28,2809.28,Home & Kitchen,Mobile,Net Banking,Email Campaign,179,Churned,1,Churned
1478,1,656.62,656.62,Sports & Fitness,Desktop,UPI,Referral,46,Active,0,Medium Risk
1479,1,2925.48,2925.48,Books,Desktop,Credit Card,Organic Search,158,Churned,1,Churned
1483,2,4226.91,2113.455,Grocery,Desktop,UPI,Email Campaign,22,Active,0,Low Risk
1484,2,4044.9100000000003,2022.4550000000002,Electronics,Desktop,Credit Card,Email Campaign,100,Churned,1,Churned
1486,1,2089.06,2089.06,Home & Kitchen,Tablet,Cash on Delivery,Direct,246,Churned,1,Churned
1487,1,5778.76,5778.76,Books,Mobile,Cash on Delivery,Organic Search,69,Active,0,High Risk
1489,2,730.27,365.135,Beauty & Personal Care,Desktop,EMI,Paid Ads,131,Churned,1,Churned
1490,1,1211.39,1211.39,Fashion,Desktop,UPI,Direct,189,Churned,1,Churned
1492,2,2307.77,1153.885,Beauty & Personal Care,Desktop,Credit Card,Email Campaign,15,Active,0,Low Risk
1493,1,416.59,416.59,Beauty & Personal Care,Desktop,Cash on Delivery,Email Campaign,307,Churned,1,Churned
1496,2,2929.2999999999997,1464.6499999999999,Electronics,Mobile,Cash on Delivery,Email Campaign,10,Active,0,Low Risk
1497,1,5020.5,5020.5,Home & Kitchen,Mobile,Credit Card,Paid Ads,214,Churned,1,Churned
1498,1,5302.37,5302.37,Home & Kitchen,Mobile,EMI,Email Campaign,25,Active,0,Low Risk
1499,1,131.96,131.96,Sports & Fitness,Mobile,Debit Card,Email Campaign,1,Active,0,Low Risk
1501,1,6016.54,6016.54,Home & Kitchen,Desktop,EMI,Social Media,144,Churned,1,Churned
1503,1,4151.74,4151.74,Books,Tablet,UPI,Social Media,76,Active,0,High Risk
1505,1,574.4,574.4,Sports & Fitness,Desktop,Cash on Delivery,Paid Ads,172,Churned,1,Churned
1506,4,11867.1,2966.775,Books,Mobile,Debit Card,Referral,93,Churned,1,Churned
1509,1,963.2,963.2,Toys & Baby,Desktop,Net Banking,Referral,12,Active,0,Low Risk
1510,1,4993.48,4993.48,Beauty & Personal Care,Mobile,UPI,Direct,40,Active,0,Medium Risk
1513,1,165.17,165.17,Fashion,Mobile,Net Banking,Paid Ads,187,Churned,1,Churned
1515,3,1602.91,534.3033333333334,Sports & Fitness,Desktop,Cash on Delivery,Referral,15,Active,0,Low Risk
1517,1,2029.92,2029.92,Electronics,Mobile,EMI,Organic Search,143,Churned,1,Churned
1518,3,6890.76,2296.92,Fashion,Desktop,EMI,Email Campaign,8,Active,0,Low Risk
1521,1,334.46,334.46,Sports & Fitness,Mobile,Debit Card,Email Campaign,245,Churned,1,Churned
1523,1,5576.1,5576.1,Home & Kitchen,Mobile,Cash on Delivery,Email Campaign,244,Churned,1,Churned
1524,1,972.99,972.99,Fashion,Desktop,EMI,Organic Search,233,Churned,1,Churned
1527,1,476.82,476.82,Books,Tablet,Net Banking,Direct,88,Active,0,High Risk
1529,2,4588.91,2294.455,Grocery,Mobile,Debit Card,Direct,173,Churned,1,Churned
1530,2,1126.92,563.46,Grocery,Desktop,Credit Card,Paid Ads,8,Active,0,Low Risk
1531,1,2598.35,2598.35,Toys & Baby,Mobile,UPI,Referral,4,Active,0,Low Risk
1532,1,3212.5,3212.5,Home & Kitchen,Mobile,Cash on Delivery,Email Campaign,189,Churned,1,Churned
1533,1,1858.18,1858.18,Fashion,Mobile,EMI,Organic Search,249,Churned,1,Churned
1538,1,1661.69,1661.69,Grocery,Tablet,Net Banking,Direct,52,Active,0,Medium Risk
1539,2,4421.79,2210.895,Electronics,Desktop,Debit Card,Organic Search,27,Active,0,Low Risk
1543,1,4321.89,4321.89,Home & Kitchen,Mobile,Credit Card,Direct,60,Active,0,Medium Risk
1545,2,1395.81,697.905,Sports & Fitness,Desktop,Cash on Delivery,Organic Search,26,Active,0,Low Risk
1548,1,2348.55,2348.55,Home & Kitchen,Desktop,UPI,Direct,123,Churned,1,Churned
1550,2,7921.13,3960.565,Books,Desktop,Credit Card,Email Campaign,5,Active,0,Low Risk
1551,1,641.61,641.61,Fashion,Desktop,Debit Card,Paid Ads,278,Churned,1,Churned
1555,1,2601.76,2601.76,Beauty & Personal Care,Tablet,Debit Card,Social Media,158,Churned,1,Churned
